pulse_start,pulse_end,analysis_path_name,author,comments
43123,43159,MASTU_lower_T2T3T4T5_radial_2,Tom Farley,Radial path down most of T2-T3 over LP cable
43160,43500,MASTU_lower_T2T3T4T5_radial_3,Tom Farley,Radial path down most of T2-T3 over LP cable
43501,43610,MASTU_lower_T2T3T4T5_radial_3,Tom Farley,Radial path down most of T2-T3 over LP cable
43611,43614,MASTU_lower_T2T3T4T5_radial_3,Tom Farley,Radial path down most of T2-T3 over LP cable
43615,43647,MASTU_lower_T2T3T4T5_radial_3,Tom Farley,Radial path down most of T2-T3 over LP cable
43648,43648,MASTU_S1_lower_T5_radial_L50_1,Tom Farley,Radial path up T5 to test 50mm lens view
43649,43800,MASTU_lower_T2T3T4T5_radial_3,Tom Farley,Radial path down most of T2-T3 over LP cable
43801,50000,MASTU_S3_lower_T2T3_radial_1,Tom Farley,Reduced length test path radially out up T5 at phi=89 deg
50001,100000,MASTU_S1_lower_T5_radial_2,Tom Farley,Reduced length test path radially out up T5 at phi=89 deg
